PT1,PT2,PT3,PT4,PT5,PT6,Time (ms),L1,L2,L3,L4,L5,L6
2.966749906539917,2.927375078201294,2.9272499084472656,2.9509999752044678,2.9706249237060547,2.9708750247955322,9504,444.5683666,444.7145955,444.9343954,444.8635604,445.9202302,444.4064423
2.9663751125335693,2.9261250495910645,2.929874897003174,2.9523749351501465,2.9522500038146973,2.969249963760376,9573,444.547421,444.643776,445.0833337,444.9416319,444.8776622,444.3152906
2.978374958,2.9333748817443848,2.928874969482422,2.950000047683716,2.9467499256134033,2.9881250858306885,9636,445.2180395,445.05451,445.0265992,444.8067836,444.5655952,445.3740203
2.974250078201294,2.9307498931884766,2.921375036239624,2.950500011444092,2.9467499256134033,2.989000082015991,9695,444.9875181,444.9057932,444.6010631,444.835172,444.5655952,445.4230999
2.9728751182556152,2.928375005722046,2.928499937057495,2.954124927520752,2.9513750076293945,2.968874931335449,9758,444.9106777,444.7712457,445.0053203,445.0409981,444.8280161,444.2942545
2.978374958,2.932874917984009,2.9272499084472656,2.952125072479248,2.951625108718872,2.9861249923706055,9818,445.2180395,445.0261849,444.9343954,444.9274445,444.8422065,445.2618325
2.971250057220459,2.931375026702881,2.922374963760376,2.9509999752044678,2.9513750076293945,2.978874921798706,9878,444.8198602,444.9412097,444.6577976,444.8635604,444.8280161,444.8551668
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
,,,,,,,278.769802,278.8662825,278.8462025,277.3030551,277.3709978,277.7662679
