-0.024,-0.01,9.784
-0.032,-0.005,9.792
-0.041,-0.005,9.801
-0.026,0.002,9.79
-0.024,-0.017,9.788
-0.037,0.001,9.798
-0.042,-0.004,9.797
-0.032,-0.002,9.793
-0.027,-0.014,9.795
-0.028,-0.005,9.795
-0.033,-0.001,9.796
-0.037,-0.002,9.783
-0.038,-0.015,9.795
-0.04,-0.001,9.791
-0.043,-0.007,9.793
-0.034,-0.005,9.79
-0.039,0.001,9.798
-0.031,0.001,9.792
-0.033,0.004,9.796
-0.036,0.0,9.786
-0.037,-0.004,9.791
-0.045,-0.004,9.799
-0.041,-0.0,9.806
-0.036,-0.01,9.791
-0.032,-0.004,9.798
-0.043,-0.007,9.8
-0.036,0.004,9.797
-0.029,0.001,9.796
-0.027,0.009,9.793
-0.035,0.0,9.792
-0.041,0.004,9.795
-0.037,-0.004,9.799
-0.039,-0.01,9.794
-0.036,-0.011,9.796
-0.037,-0.015,9.795
-0.035,0.002,9.8
-0.043,-0.004,9.797
-0.032,-0.002,9.795
-0.039,-0.0,9.798
-0.024,0.003,9.796
-0.027,-0.0,9.796
-0.037,0.002,9.797
-0.033,-0.0,9.797
-0.035,-0.004,9.788
-0.031,-0.0,9.801
-0.035,-0.006,9.786
-0.035,0.002,9.802
-0.028,-0.0,9.791
-0.035,-0.002,9.792
-0.036,-0.001,9.789
-0.043,-0.011,9.8
-0.035,-0.003,9.801
-0.033,-0.009,9.794
-0.031,-0.002,9.8
-0.024,-0.003,9.784
-0.046,0.004,9.79
-0.029,0.001,9.796
-0.041,-0.002,9.783
-0.041,-0.006,9.797
-0.031,-0.008,9.793
-0.04,0.002,9.789
-0.035,-0.004,9.79
-0.031,-0.01,9.8
-0.031,-0.003,9.796
-0.043,-0.008,9.794
-0.037,-0.003,9.796
-0.036,-0.004,9.797
-0.03,-0.0,9.791
-0.035,-0.002,9.793
-0.028,0.002,9.795
-0.034,-0.001,9.807
-0.025,-0.004,9.788
-0.033,-0.0,9.791
-0.032,-0.005,9.797
-0.028,-0.006,9.785
-0.029,-0.001,9.789
-0.039,-0.007,9.791
-0.042,-0.001,9.791
-0.047,-0.002,9.784
-0.037,-0.004,9.793
-0.038,-0.013,9.788
-0.033,-0.002,9.801
-0.035,-0.008,9.802
-0.037,-0.014,9.792
-0.035,-0.005,9.792
-0.035,0.01,9.786
-0.032,-0.013,9.796
-0.03,-0.002,9.795
-0.033,-0.004,9.79
-0.03,-0.002,9.803
-0.043,0.001,9.793
-0.034,0.005,9.788
-0.033,-0.007,9.791
-0.029,-0.002,9.8
-0.048,-0.008,9.788
-0.028,-0.006,9.798
-0.025,0.0,9.797
-0.04,-0.01,9.798
-0.03,-0.001,9.786
-0.046,0.002,9.792
-0.033,-0.012,9.793
-0.035,-0.002,9.797
-0.038,-0.005,9.799
-0.033,-0.004,9.808
-0.032,-0.014,9.799
-0.038,0.001,9.798
-0.032,-0.0,9.797
-0.036,0.001,9.797
-0.029,-0.002,9.8
-0.041,-0.001,9.78
-0.033,-0.007,9.8
-0.036,-0.004,9.796
-0.026,0.002,9.8
-0.04,0.002,9.795
-0.04,-0.001,9.792
-0.033,0.001,9.791
-0.037,0.002,9.791
-0.043,-0.002,9.79
-0.031,0.003,9.79
-0.038,0.004,9.795
-0.046,-0.004,9.792
-0.033,-0.011,9.795
-0.024,-0.005,9.794
-0.029,-0.001,9.79
-0.026,-0.003,9.788
-0.034,0.004,9.787
-0.032,-0.003,9.792
-0.037,-0.01,9.793
-0.04,-0.004,9.791
-0.033,-0.002,9.784
-0.038,-0.008,9.791
-0.028,-0.012,9.794
-0.041,-0.009,9.79
-0.029,-0.004,9.79
-0.039,-0.004,9.8
-0.034,-0.011,9.791
-0.033,-0.006,9.795
-0.036,-0.001,9.8
-0.04,0.0,9.792
-0.032,-0.001,9.801
-0.039,-0.001,9.796
-0.038,0.007,9.793
-0.033,-0.001,9.802
-0.035,-0.008,9.79
-0.037,0.002,9.791
-0.032,-0.007,9.792
-0.032,-0.004,9.794
-0.031,-0.009,9.786
-0.04,-0.004,9.794
-0.035,0.003,9.797
-0.023,-0.003,9.795
-0.034,0.0,9.799
-0.042,-0.004,9.786
-0.025,-0.003,9.804
-0.035,0.0,9.796
-0.034,0.001,9.8
-0.036,0.005,9.788
-0.038,-0.007,9.786
-0.04,-0.005,9.793
-0.032,-0.0,9.8
-0.03,0.005,9.811
-0.03,-0.0,9.796
-0.033,0.008,9.796
-0.041,-0.008,9.788
-0.043,-0.006,9.793
-0.033,0.0,9.802
-0.032,-0.004,9.785
-0.031,-0.004,9.795
-0.034,-0.007,9.79
-0.032,-0.001,9.794
-0.039,-0.008,9.798
-0.035,-0.0,9.797
-0.035,-0.01,9.792
-0.037,0.003,9.792
-0.038,0.004,9.803
-0.036,-0.005,9.792
-0.028,0.004,9.793
-0.038,-0.01,9.793
-0.04,-0.004,9.797
-0.035,-0.002,9.797
-0.03,-0.006,9.789
-0.038,-0.007,9.79
-0.04,-0.003,9.803
-0.034,-0.006,9.787
-0.034,-0.002,9.797
-0.029,-0.008,9.795
-0.037,-0.004,9.796
-0.032,-0.008,9.794
-0.032,-0.001,9.8
-0.032,0.001,9.794
-0.029,0.006,9.794
-0.039,-0.007,9.796
-0.03,-0.002,9.787
-0.029,-0.001,9.794
-0.033,-0.004,9.798
-0.033,-0.001,9.798
-0.039,0.004,9.794
-0.025,0.004,9.794
-0.033,-0.004,9.797
-0.035,-0.009,9.798
-0.031,0.002,9.788
-0.022,-0.004,9.789
-0.031,-0.0,9.792
-0.038,0.0,9.787
-0.038,-0.011,9.8
-0.035,-0.007,9.792
-0.042,0.005,9.8
-0.021,-0.008,9.797
-0.033,-0.002,9.8
-0.037,-0.003,9.786
-0.03,0.001,9.799
-0.031,-0.001,9.8
-0.037,-0.003,9.792
-0.024,-0.002,9.807
-0.032,-0.005,9.8
-0.031,-0.003,9.8
-0.042,0.001,9.791
-0.03,-0.007,9.797
-0.032,-0.002,9.796
-0.039,-0.005,9.796
-0.035,-0.009,9.805
-0.034,-0.002,9.796
-0.04,-0.007,9.798
-0.035,0.003,9.79
-0.038,-0.006,9.791
-0.029,-0.008,9.801
-0.033,-0.004,9.802
-0.038,-0.007,9.788
-0.043,-0.003,9.791
-0.036,-0.009,9.797
-0.04,0.003,9.789
-0.041,-0.001,9.794
-0.034,0.007,9.792
-0.026,-0.002,9.794
-0.043,-0.008,9.8
-0.036,-0.003,9.801
-0.036,-0.003,9.788
-0.042,0.001,9.794
-0.039,-0.004,9.791
-0.028,-0.005,9.795
-0.036,-0.0,9.798
-0.03,-0.002,9.799
-0.036,-0.009,9.798
-0.041,-0.007,9.796
-0.038,-0.007,9.791
-0.038,-0.008,9.797
-0.043,-0.014,9.794
-0.031,-0.008,9.803
-0.033,-0.017,9.801
-0.038,-0.006,9.802
-0.031,-0.005,9.793
-0.045,-0.007,9.791
-0.037,0.005,9.789
-0.026,0.001,9.791
-0.034,-0.007,9.791
-0.038,0.005,9.79
-0.033,-0.002,9.792
-0.036,0.003,9.797
-0.025,-0.0,9.803
-0.024,-0.004,9.794
-0.032,-0.002,9.791
-0.031,-0.001,9.8
-0.034,-0.002,9.79
-0.043,0.004,9.792
-0.039,-0.004,9.792
-0.037,-0.002,9.795
-0.029,-0.001,9.783
-0.03,-0.008,9.791
-0.024,-0.008,9.794
-0.035,-0.004,9.805
-0.037,-0.005,9.802
-0.031,-0.003,9.79
-0.04,-0.009,9.791
